ISO,Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Estimates Start After
AFG,Afghanistan,"Gross domestic product, constant prices",National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,185.47,201.132,203.255,225.969,238.52,271.293,281.09,340.176,368.868,394.555,434.855,448.337,469.667,499.14,530.007,560.48,587.63,2011
AFG,Afghanistan,"Gross domestic product, constant prices",Percent change,,,,,,,,,,,,,,,,,,,,,,,,,8.444,1.056,11.175,5.554,13.74,3.611,21.02,8.435,6.964,10.214,3.101,4.757,6.275,6.184,5.75,4.844,2011
AFG,Afghanistan,"Gross domestic product, current prices",National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,185.471,224.696,252.597,311.436,352.308,435.692,533.522,615.082,729.905,862.84,1013.65,1103.13,1219.76,1359.07,1514.94,1680.07,1847.14,2011
AFG,Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,4.135,4.584,5.281,6.272,7.058,8.746,10.47,12.487,15.94,18.067,19.906,20.984,22.582,24.245,26.071,27.892,29.553,2011
AFG,Afghanistan,"Gross domestic product, deflator",Index,,,,,,,,,,,,,,,,,,,,,,,,100,111.716,124.276,137.822,147.706,160.598,189.805,180.813,197.877,218.687,233.102,246.05,259.708,272.282,285.834,299.755,314.336,2011
AFG,Afghanistan,"Gross domestic product per capita, constant prices",National currency,Units,,,,,,,,,,,,,,,,,,,,,,,8134.66,8450.91,8219.55,8795.1,8935.12,9898.54,9910.14,11621.4,12222.71,12693.06,13582.06,13595.32,13827.29,14266.98,14708.03,15100.66,15371,2007
AFG,Afghanistan,"Gross domestic product per capita, current prices",National currency,Units,,,,,,,,,,,,,,,,,,,,,,,8134.68,9441.02,10214.92,12121.61,13197.7,15896.88,18809.91,21013,24185.91,27758.06,31659.98,33451.26,35910.6,38846.41,42040.57,45264.93,48316.66,2007
AFG,Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,,,,,,,,,,,,,,,,,,,,,,,181.369,192.599,213.546,244.124,264.401,319.113,369.139,426.583,528.181,581.227,621.745,636.325,664.814,692.996,723.484,751.474,773.043,2007
AFG,Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,,,,,,,,,,,,,,,,,,,,,,,12.265,13.58,13.387,15.195,16.557,19.378,20.523,25.054,27.53,30.075,33.74,35.358,37.776,40.956,44.394,47.955,51.344,2011
AFG,Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,,,,,,,,,,,,,,,,,,,,,,,537.934,570.6,541.367,591.402,620.232,707.044,723.572,855.913,912.228,967.527,1053.81,1072.19,1112.16,1170.65,1231.96,1292.02,1343.03,2007
AFG,Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.028,0.025,0.027,0.027,0.029,0.029,0.036,0.037,0.038,0.041,0.041,0.041,0.042,0.042,0.043,0.043,2011
AFG,Afghanistan,Implied PPP conversion rate,National currency per current international dollar,,,,,,,,,,,,,,,,,,,,,,,,15.122,16.546,18.869,20.496,21.279,22.484,25.996,24.55,26.513,28.69,30.043,31.199,32.289,33.184,34.125,35.034,35.976,2011
AFG,Afghanistan,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,34.031,38.78,47.193,46.114,43.638,40.45,38.562,33.47,26.833,25.531,24.724,25.947,23.169,24.606,23.887,21.961,21.767,2011
AFG,Afghanistan,Gross national savings,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,30.407,25.285,46.855,49.168,42.527,46.276,43.677,35.034,29.67,27.734,28.74,27.57,23.436,23.41,23.073,21.012,20.907,2011
AFG,Afghanistan,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,,,,,,,,,42.448,52.987,61.668,67.628,71.197,80.109,98.831,88.911,95.267,105.132,109.805,116.513,123.283,129.447,135.919,142.715,149.851,2012
AFG,Afghanistan,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,,,,,,,,,24.827,16.383,9.666,5.277,12.517,23.371,-10.037,7.149,10.356,4.445,6.109,5.81,5,5,5,5,2012
AFG,Afghanistan,"Inflation, end of period consumer prices",Index,,,,,,,,,,,,,,,,,,,,,,,,49.906,58.854,64.681,70.012,73.032,86.641,90.596,88.282,100,108.376,114.55,120.276,126.289,132.604,139.234,146.196,153.506,2012
AFG,Afghanistan,"Inflation, end of period consumer prices",Percent change,,,,,,,,,,,,,,,,,,,,,,,,,17.93,9.902,8.242,4.313,18.635,4.565,-2.555,13.273,8.376,5.697,4.998,5,5,5,5,5,2012
AFG,Afghanistan,Six-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Volume of imports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,75.475,14.665,21.098,12.609,11.975,4.953,24.336,-9.811,-1.645,7.454,0.602,2.738,1.685,4.91,2.133,3.723,2009
AFG,Afghanistan,Volume of Imports of goods,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,68.252,16.63,20.89,13.802,13.948,5.519,23.116,-10.323,-2.19,7.335,0.412,2.6,1.45,4.512,1.409,3.391,2009
AFG,Afghanistan,Volume of exports of goods and services,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,39.259,-9.924,10.533,5.351,1.309,28.149,26.727,-1.889,0.503,0.654,-1.957,7.94,24.322,21.736,10.835,14.545,2009
AFG,Afghanistan,Volume of exports of goods,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,41.37,-12.864,9.584,4.924,0.383,22.349,26.645,-1.922,-0.264,-1.906,-3.616,8.062,27.657,23.937,10.928,15.654,2009
AFG,Afghanistan,Value of oil imports,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
AFG,Afghanistan,Value of oil exports,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
AFG,Afghanistan,Unemployment rate,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Employment,Persons,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Population,Persons,Millions,,,,,,,,,,,,,,,,,,,,,,,22.8,23.8,24.728,25.693,26.695,27.407,28.364,29.272,30.179,31.084,32.017,32.977,33.967,34.986,36.035,37.116,38.23,2007
AFG,Afghanistan,General government revenue,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,15.295,24.811,36.034,56.643,64.627,86.874,93.63,126.388,160.414,191.081,257.866,311.321,372.365,430.094,484.696,606.772,684.805,2012
AFG,Afghanistan,General government revenue,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,8.247,11.042,14.265,18.188,18.344,19.939,17.549,20.548,21.977,22.146,25.439,28.222,30.528,31.646,31.994,36.116,37.074,2012
AFG,Afghanistan,General government total expenditure,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,31.606,39.55,53.437,75.702,95.71,114.868,134.381,154.016,198.247,258.021,326.326,371.09,437.038,505.37,632.271,700.156,2012
AFG,Afghanistan,General government total expenditure,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,14.066,15.657,17.158,21.487,21.967,21.53,21.848,21.101,22.976,25.455,29.582,30.423,32.157,33.359,37.634,37.905,2012
AFG,Afghanistan,General government net lending/borrowing,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,-6.795,-3.516,3.206,-11.075,-8.836,-21.238,-7.992,6.399,-7.167,-0.155,-15.005,1.276,-6.943,-20.674,-25.499,-15.351,2012
AFG,Afghanistan,General government net lending/borrowing,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,-3.024,-1.392,1.03,-3.143,-2.028,-3.981,-1.299,0.877,-0.831,-0.015,-1.36,0.105,-0.511,-1.365,-1.518,-0.831,2012
AFG,Afghanistan,General government structural balance,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,General government structural balance,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,General government primary net lending/borrowing,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,3.356,-10.905,-8.729,-21.135,-7.888,6.478,-7.075,-0.058,-14.175,2.102,-5.867,-18.988,-23.976,-13.665,2012
AFG,Afghanistan,General government primary net lending/borrowing,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,1.078,-3.095,-2.003,-3.961,-1.283,0.888,-0.82,-0.006,-1.285,0.172,-0.432,-1.253,-1.427,-0.74,2012
AFG,Afghanistan,General government net debt,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,General government net debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,General government gross debt,National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,,,,,,,,,,,,,,,,,,,,,,,185.471,224.696,252.597,311.436,352.308,435.692,533.522,615.082,729.905,862.84,1013.65,1103.13,1219.76,1359.07,1514.94,1680.07,1847.14,2012
AFG,Afghanistan,Current account balance,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,-0.15,-0.619,-0.018,0.192,-0.078,0.51,0.536,0.195,0.452,0.398,0.8,0.341,0.06,-0.29,-0.212,-0.265,-0.254,2009
AFG,Afghanistan,Current account balance,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,-3.623,-13.495,-0.338,3.055,-1.11,5.826,5.115,1.564,2.837,2.203,4.017,1.623,0.267,-1.196,-0.813,-0.949,-0.86,2009
ALB,Albania,"Gross domestic product, constant prices",National currency,Billions,293.363,310.085,319.078,322.588,329.039,324.104,342.254,339.515,334.762,367.569,330.812,238.185,221.035,242.255,265.027,288.614,314.878,282.76,318.671,350.857,376.469,406.362,423.557,448.011,473.59,500.865,528.067,559.223,601.368,621.305,643.05,662.342,670.952,683.03,700.105,717.608,735.548,753.937,772.785,2008
ALB,Albania,"Gross domestic product, constant prices",Percent change,,2.684,5.7,2.9,1.1,2,-1.5,5.6,-0.8,-1.4,9.8,-10,-28,-7.2,9.6,9.4,8.9,9.1,-10.2,12.7,10.1,7.3,7.94,4.231,5.773,5.71,5.759,5.431,5.9,7.536,3.315,3.5,3,1.3,1.8,2.5,2.5,2.5,2.5,2.5,2008
ALB,Albania,"Gross domestic product, current prices",National currency,Billions,17.411,18.012,18.55,18.74,18.501,18.896,19.487,19.334,19.059,20.933,18.84,18.382,59.65,140.452,210.545,251.843,314.878,322.186,412.326,474.291,523.043,583.369,622.711,694.098,754.823,820.225,882.209,967.67,1089.29,1151.02,1237.16,1318.49,1364.21,1414.78,1487.7,1568.08,1653.03,1743.18,1838.33,2008
ALB,Albania,"Gross domestic product, current prices",U.S. dollars,Billions,1.833,2.099,2.162,2.184,2.156,2.202,2.436,2.417,2.382,2.617,2.091,1.255,0.794,1.376,2.223,2.714,3.013,2.196,2.729,3.43,3.64,4.065,4.435,5.747,7.352,8.213,9.001,10.698,13.003,12.168,11.893,12.968,12.688,13.388,13.885,14.407,14.985,15.612,16.277,2008
ALB,Albania,"Gross domestic product, deflator",Index,,5.935,5.809,5.814,5.809,5.623,5.83,5.694,5.695,5.693,5.695,5.695,7.717,26.987,57.977,79.443,87.259,100,113.943,129.389,135.181,138.934,143.559,147.019,154.929,159.383,163.762,167.064,173.038,181.136,185.259,192.39,199.065,203.325,207.133,212.496,218.515,224.734,231.21,237.884,2008
ALB,Albania,"Gross domestic product per capita, constant prices",National currency,Units,109853.4,113847.05,114718.38,113663.21,113591.08,109590.76,113471.76,110372.06,106676.74,114894.03,103482.87,75837.78,71064.91,78269.39,87373.51,95029.54,102803.06,91562.58,104089.91,113179.61,123089.66,132204.78,136919.91,144001.19,151439.22,159406.4,167810.18,176894.53,188993.53,194497.07,200302.95,205285.61,206919.73,209596.3,213767.37,218021.45,222360.19,226785.26,231298.4,2008
ALB,Albania,"Gross domestic product per capita, current prices",National currency,Units,6519.91,6613.08,6669.27,6603.16,6386.79,6389.46,6460.69,6285.34,6073.31,6543.32,5893.48,5852.76,19178.09,45378.31,69412.09,82922.08,102803.06,104329.24,134681.13,152997.1,171013.21,189791.54,201298.79,223099.22,241368.38,261046.57,280349.99,306095.17,342335.09,360322.39,385362.47,408652.08,420719.59,434142.86,454247.47,476408.76,499719.34,524350.93,550221.85,2008
ALB,Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,686.306,770.755,777.305,769.599,744.381,744.692,807.586,785.667,759.164,817.914,654.233,399.674,255.367,444.45,732.968,893.557,983.761,711.174,891.404,1106.53,1190.13,1322.59,1433.69,1847.21,2350.9,2613.8,2860.47,3384.08,4086.61,3809.23,3704.52,4019.4,3912.81,4108.4,4239.72,4377.03,4529.9,4696.18,4871.9,2008
ALB,Albania,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,4.931,5.701,6.224,6.541,6.923,7.025,7.583,7.74,7.894,8.995,8.408,6.268,5.955,6.671,7.452,8.284,9.21,8.416,9.592,10.717,11.748,12.967,13.735,14.833,15.616,16.892,18.385,20.034,22.022,22.95,24.071,25.322,26.11,27.017,28.243,29.532,30.901,32.354,33.865,2008
ALB,Albania,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,1846.53,2093,2237.67,2304.76,2389.82,2375.45,2513.95,2516.25,2515.54,2811.63,2630.11,1995.79,1914.53,2155.22,2456.6,2727.52,3006.83,2725.34,3133.21,3456.95,3841.02,4218.68,4439.89,4767.71,4993.48,5376.03,5842.32,6337.28,6920.9,7184.52,7497.85,7848.17,8052.18,8290.46,8623.51,8972.35,9341.45,9731.99,10136.06,2008
ALB,Albania,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.044,0.045,0.046,0.046,0.044,0.042,0.043,0.041,0.039,0.041,0.036,0.025,0.021,0.023,0.024,0.026,0.027,0.023,0.025,0.027,0.028,0.029,0.03,0.03,0.03,0.03,0.03,0.03,0.031,0.033,0.032,0.032,0.031,0.031,0.031,0.03,0.029,0.029,0.028,2008
ALB,Albania,Implied PPP conversion rate,National currency per current international dollar,,3.531,3.16,2.98,2.865,2.672,2.69,2.57,2.498,2.414,2.327,2.241,2.933,10.017,21.055,28.255,30.402,34.19,38.281,42.985,44.258,44.523,44.988,45.339,46.794,48.337,48.558,47.986,48.301,49.464,50.153,51.396,52.07,52.249,52.367,52.675,53.097,53.495,53.879,54.284,2008
ALB,Albania,Total investment,Percent of GDP,,4.96,45.376,48.663,51.798,54.135,47.225,45.289,47.367,46.117,45.831,50.962,9.723,7.605,19.306,26.18,26.326,22.285,17.31,16.914,20.809,29.455,28.587,27.939,25.434,26.308,29.737,30.289,30.135,33.379,30.256,26.773,25.631,24.061,22.859,22.059,21.259,20.459,19.659,19.059,2008
