Country,Region
Afghanistan,MENA
Albania,Europe ex. euro area
Algeria,MENA
Angola,Sub-Saharan Africa
Antigua and Barbuda,North America
Argentina,Latin America
Armenia,Europe ex. euro area
Australia,JA AU NZ
Austria,Euro area
Azerbaijan,Europe ex. euro area
Bahrain,MENA
Bangladesh,Asia ex. JP AU NZ
Barbados,North America
Belarus,Europe ex. euro area
Belgium,Euro area
Belize,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Bhutan,Asia ex. JP AU NZ
Bolivia,Latin America
Bosnia and Herzegovina,Europe ex. euro area
Botswana,Sub-Saharan Africa
Brazil,Latin America
Brunei Darussalam,Asia ex. JP AU NZ
Bulgaria,Europe ex. euro area
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cambodia,Asia ex. JP AU NZ
Cameroon,Sub-Saharan Africa
Canada,North America
Cape Verde,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Chile,Latin America
China,Asia ex. JP AU NZ
Colombia,Latin America
Comoros,Sub-Saharan Africa
Costa Rica,Latin America
Cote d'Ivoire,Sub-Saharan Africa
Croatia,Europe ex. euro area
Cyprus,Euro area
Czech Republic,Europe ex. euro area
Democratic Republic of the Congo,Sub-Saharan Africa
Denmark,Europe ex. euro area
Djibouti,MENA
Dominica,Latin America
Dominican Republic,Latin America
Ecuador,Latin America
Egypt,MENA
El Salvador,Latin America
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,Europe ex. euro area
Ethiopia,Sub-Saharan Africa
Fiji,Asia ex. JP AU NZ
Finland,Euro area
France,Euro area
Gabon,Sub-Saharan Africa
Georgia,Europe ex. euro area
Germany,Euro area
Ghana,Sub-Saharan Africa
Greece,Euro area
Grenada,Latin America
Guatemala,Latin America
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,Sub-Saharan Africa
Haiti,North America
Honduras,North America
Hong Kong,Asia ex. JP AU NZ
Hungary,Europe ex. euro area
Iceland,Europe ex. euro area
India,Asia ex. JP AU NZ
Indonesia,Asia ex. JP AU NZ
Iran,MENA
Iraq,MENA
Ireland,Euro area
Israel,MENA
Italy,Euro area
Jamaica,North America
Japan,JA AU NZ
Jordan,MENA
Kazakhstan,Asia ex. JP AU NZ
Kenya,Sub-Saharan Africa
Kiribati,Asia ex. JP AU NZ
Korea,Asia ex. JP AU NZ
Kosovo,Europe ex. euro area
Kuwait,MENA
Kyrgyz Republic,Asia ex. JP AU NZ
Laos,Asia ex. JP AU NZ
Latvia,Europe ex. euro area
Lebanon,MENA
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,MENA
Lithuania,Europe ex. euro area
Luxembourg,Euro area
Macedonia,Europe ex. euro area
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,Asia ex. JP AU NZ
Maldives,Asia ex. JP AU NZ
Mali,Sub-Saharan Africa
Malta,Euro area
Marshall Islands,Asia ex. JP AU NZ
Mauritania,Sub-Saharan Africa
Mauritius,Asia ex. JP AU NZ
Mexico,Latin America
Micronesia,Asia ex. JP AU NZ
Moldova,Europe ex. euro area
Mongolia,Asia ex. JP AU NZ
Montenegro,Europe ex. euro area
Morocco,MENA
Mozambique,Sub-Saharan Africa
Myanmar,Asia ex. JP AU NZ
Namibia,Sub-Saharan Africa
Nepal,Asia ex. JP AU NZ
Netherlands,Euro area
New Zealand,JA AU NZ
Nicaragua,Latin America
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Norway,Europe ex. euro area
Oman,MENA
Pakistan,Asia ex. JP AU NZ
Panama,Latin America
Papua New Guinea,Asia ex. JP AU NZ
Paraguay,Latin America
Peru,Latin America
Philippines,Asia ex. JP AU NZ
Poland,Europe ex. euro area
Portugal,Euro area
Qatar,MENA
Republic of Congo,Sub-Saharan Africa
Romania,Europe ex. euro area
Russia,Europe ex. euro area
Rwanda,Sub-Saharan Africa
Samoa,Asia ex. JP AU NZ
San Marino,Europe ex. euro area
Sao Tome and Principe,Sub-Saharan Africa
Saudi Arabia,MENA
Senegal,Sub-Saharan Africa
Serbia,Europe ex. euro area
Seychelles,Asia ex. JP AU NZ
Sierra Leone,Sub-Saharan Africa
Singapore,Asia ex. JP AU NZ
Slovak Republic,Euro area
Slovenia,Europe ex. euro area
Solomon Islands,Asia ex. JP AU NZ
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Spain,Euro area
Sri Lanka,Asia ex. JP AU NZ
St. Kitts and Nevis,North America
St. Lucia,North America
St. Vincent and the Grenadines,North America
Sudan,Sub-Saharan Africa
Suriname,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Sweden,Europe ex. euro area
Switzerland,Europe ex. euro area
Syria,MENA
Taiwan,Asia ex. JP AU NZ
Tajikistan,Asia ex. JP AU NZ
Tanzania,Sub-Saharan Africa
Thailand,Asia ex. JP AU NZ
Timor-Leste,Asia ex. JP AU NZ
The Bahamas,North America
The Gambia,Sub-Saharan Africa
Togo,Asia ex. JP AU NZ
Tonga,Asia ex. JP AU NZ
Trinidad and Tobago,North America
Tunisia,MENA
Turkey,MENA
Turkmenistan,Asia ex. JP AU NZ
Tuvalu,
Uganda,Sub-Saharan Africa
Ukraine,Europe ex. euro area
United Arab Emirates,MENA
United Kingdom,Europe ex. euro area
United States,North America
Uruguay,Latin America
Uzbekistan,Asia ex. JP AU NZ
Vanuatu,Asia ex. JP AU NZ
Venezuela,Latin America
Vietnam,Asia ex. JP AU NZ
Yemen,MENA
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
